Product Code (كود المنتج),Product Name (اسم المنتج),Product Name English,Company (الشركة),% (of Blend) (نسبة الخلط),Description (وصف المنتج),الوصف,Flavor Metrics (المقاييس),Brewing Notes (ملحوظات التحضير),Brewing Notes English
AF001,اثيوبيا ايراشيف,Ethiopia Yirgacheffe,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ اثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF002,قهوة Yirga Moka,Yirga Moka Mocha,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ اثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF003,قهوة Buna Yirga,Buna Yirga Moka,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ اثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF004,قهوة Yirgacheffe Kudu,Yirgacheffe Kudu,SGL,100%,100% Ethiopia - 100% Arabica - Refreshing cup,١٠٠٪؜ أثيوبيا - ١٠٠٪؜ أرابيكا - قهوة منعشة وذات مذاق متوازن,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF005,أثيوبيا سيدامو,Ethiopia Sidamo,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF006,أثيوبيا ايربون ييرغا تشافا,Ethiopia Irbone Yirga Chaffee,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة منعشة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF007,أثيوبيا ييرجا تشافانشو,Ethiopia Yirga Chafanso,SGL,100%,100% Ethiopia - 100% Arabica - Premium cup,١٠٠٪؜ أثيوبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF008,أثيوبيا بون بون موكا,Ethiopia Bun Bun Mocha,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF009,أثيوبيا بون بون موكا,Ethiopia Bun Bun Mocha,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF010,أثيوبيا ييرجا واريجودا,Ethiopia Yirga Wariguda,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF011,أثيوبيا موكا,Ethiopia Mocha,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF012,أثيوبيا ييرجا موكا موتو,Ethiopia Yirga Mocha Moto,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF013,مجموعة الأثيوبي موكا,Ethiopian Mocha Set,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF014,أثيوبيا موكا ييرجا,Ethiopia Mocha Yirga,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF015,قهوة ييرجا تشافا موكا,Yirga Chaffee Mocha,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF016,اثيوبيا موكا ييرجا تشافا,Ethiopia Mocha Yirga Chaffee,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF017,أثيوبيا ييرجا تشافا,Ethiopia Yirga Chaffee,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF018,مجموعة الأثيوبي موكا,Ethiopian Mocha Set,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF019,أثيوبيا بون بون موكا,Ethiopia Bun Bun Mocha,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF020,أثيوبيا ييرجا واريجودا,Ethiopia Yirga Wariguda,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF021,أثيوبيا موكا,Ethiopia Mocha,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF022,أثيوبيا ييرجا موكا موتو,Ethiopia Yirga Mocha Moto,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF023,مجموعة الأثيوبي موكا,Ethiopian Mocha Set,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF024,أثيوبيا موكا ييرجا,Ethiopia Mocha Yirga,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF025,قهوة ييرجا تشافا موكا,Yirga Chaffee Mocha,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF026,اثيوبيا موكا ييرجا تشافا,Ethiopia Mocha Yirga Chaffee,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF027,أثيوبيا ييرجا تشافا,Ethiopia Yirga Chaffee,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF028,مجموعة الأثيوبي موكا,Ethiopian Mocha Set,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF029,أثيوبيا بون بون موكا,Ethiopia Bun Bun Mocha,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
AF030,أثيوبيا ييرجا واريجودا,Ethiopia Yirga Wariguda,SGL,100%,60% Ethiopia / 40% Colombia - 100% Arabica - Refreshing cup,٦٠٪؜ أثيوبيا / ٤٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة ممتازة,Body 3 / Clarity 4 / Acidity 5 / 60%,٢٨ جرام / ٥٠٠ مل ماء / درجة حرارة ٩٤ م / استخلاص ٢:٠٥ د,28g / 500ml water / 94°C / Steep 2:05 min, water 93°C
CB-001,Cold Brew Ethiopia Sidamo,Cold Brew Ethiopia Sidamo,SGL,100%,100% Ethiopia - 100% Arabica - Luxurious cup,١٠٠٪؜ أثيوبيا - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB002,كولد برو اثيوبيا يلجشفي,Cold Brew Ethiopia Yirgacheffe,SGL,100%,100% Ethiopia - 100% Arabica - Luxurious cup,١٠٠٪؜ أثيوبيا - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB003,كولد برو كولومبيا سوبريمو,Cold Brew Colombia Supremo,SGL,100%,100% Colombia - 100% Arabica - Luxurious cup,١٠٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB004,كولد برو اثيوبيا ييرجا,Cold Brew Ethiopia Yirga,SGL,100%,100% Ethiopia - 100% Arabica - Luxurious cup,١٠٠٪؜ أثيوبيا - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB005,كولد برو موكا,Cold Brew Mocha,SGL,100%,100% Yemen - 100% Arabica - Luxurious cup,١٠٠٪؜ يمني - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB006,كولد برو سومطرة,Cold Brew Sumatra,SGL,100%,100% Indonesia - 100% Arabica - Luxurious cup,١٠٠٪؜ اندونيسيا - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB007,كولد برو ييرجا تشافا,Cold Brew Yirga Chaffee,SGL,100%,100% Ethiopia - 100% Arabica - Luxurious cup,١٠٠٪؜ أثيوبيا - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB008,كولد برو سيدامو,Cold Brew Sidamo,SGL,100%,100% Ethiopia - 100% Arabica - Luxurious cup,١٠٠٪؜ أثيوبيا - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB009,كولد برو كولومبيا,Cold Brew Colombia,SGL,100%,100% Colombia - 100% Arabica - Luxurious cup,١٠٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB010,كولد برو موكا ييرجا,Cold Brew Mocha Yirga,SGL,100%,100% Yemen - 100% Arabica - Luxurious cup,١٠٠٪؜ يمني - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB011,كولد برو ييرجا تشافا,Cold Brew Yirga Chaffee,SGL,100%,100% Ethiopia - 100% Arabica - Luxurious cup,١٠٠٪؜ أثيوبيا - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB012,كولد برو كولومبيا,Cold Brew Colombia,SGL,100%,100% Colombia - 100% Arabica - Luxurious cup,١٠٠٪؜ كولومبيا - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB013,كولد برو موكا,Cold Brew Mocha,SGL,100%,100% Yemen - 100% Arabica - Luxurious cup,١٠٠٪؜ يمني - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
CB014,كولد برو سومطرة,Cold Brew Sumatra,SGL,100%,100% Indonesia - 100% Arabica - Luxurious cup,١٠٠٪؜ اندونيسيا - ١٠٠٪؜ أرابيكا - قهوة فاخرة,Body 3 / Clarity 5 / Acidity 2 / 50%,٥٠٠ مل ماء / درجة حرارة ٩٢ م / استخلاص ٢:٠٠ د,500ml water / 92°C / Steep 2:00 min, water 92°C
