الأداة,الكود,الاسم_التجاري_الجديد,Product_Name,التركيبة,Blend_Composition,الوصف_التسويقي_يركز_على_الصحة_والنكهة,Marketing_Description,المقاييس_بالعربي,Flavor_Metrics,ملاحظات_التحضير,Brewing_Notes
غلي,B-001,أعماق إندونيسيا,أAmaq إNdwnysya,١٠٠٪ بن إندونيسي,100% بن Indonesian,لدعم صحة العظام، مشروب قوي بنكهة عشبية ترابية عميقة.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 5 / Flavor 3 / Aroma 3 / Color 3,غلي 20 دقيقة + عرق سوس,Boil 20 min; add licorice.
غلي,B-002,روبوستا المعدلة,Rwbwsta Almadla,٤٠٪ فيتنامي + ٤٠٪ هندي روبيستا + ٢٠٪ كولومبي,40% Vietnamese + 40% Indian Robusta + 20% Colombian,طاقة عالية جداً، مشروب قوي ومر بنكهة عشبية جريئة.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 3.5 / رائحة 2 / لون 3,Bitterness 4 / Body 5 / Flavor 3.5 / Aroma 2 / Color 3,غلي 15 دقيقة + قرفة,Boil 15 min; add cinnamon.
غلي,B-003,التوفير الذهبي,Altwfyr Alihby,٧٠٪ برازيلي روبيستا + ٣٠٪ أوغندي,70% Brazilian Robusta + 30% Ugandan,لزيادة الأيض، مشروب قوي بنكهة عشبية مع لمسة ترابية.,"Bold cup.
Flavor profile: medium-full body.",مرارة 4 / قوام 4 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 4 / Flavor 3 / Aroma 3 / Color 3,غلي 12 دقيقة + هيل,Boil 12 min; add cardamom.
غلي,B-004,اليقظة الآسيوية,Alyqza AlآSywya,٦٠٪ هندي روبيستا + ٤٠٪ إندونيسي,60% Indian Robusta + 40% Indonesian,لتركيز فوري، مشروب قوي جداً بنكهة عشبية ترابية.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 5 / Flavor 3 / Aroma 3 / Color 3,غلي 15 دقيقة + فلفل وردي,Boil 15 min; add pink pepper.
غلي,B-005,إندونيسي الدبس,إNdwnysy Aldbs,٧٠٪ إندونيسي + ٣٠٪ هندي مايسور,70% Indonesian + 30% Indian Mysore,لطاقة وقوة بدنية، مشروب قوي جداً بنكهة عشبية ترابية عميقة.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 5 / Flavor 3 / Aroma 3 / Color 3,غلي 25 دقيقة + دبس رمان,Boil 25 min; add pomegranate molasses.
غلي,B-006,طاقة التمرين,Taqa Altmryn,٦٠٪ فيتنامي + ٤٠٪ أوغندي,60% Vietnamese + 40% Ugandan,لأداء رياضي عالي، مشروب قوي بنكهة عشبية جريئة.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 5 / Flavor 3 / Aroma 3 / Color 3,غلي 10 دقائق + زنجبيل طازج,"Boil 10 min; add fresh ginger, ginger."
غلي,B-007,القوة الآسيوية المعدلة,Alqwa AlآSywya Almadla,٨٠٪ هندي روبيستا + ٢٠٪ كولومبي,80% Indian Robusta + 20% Colombian,لطاقة قصوى، مشروب قوي ومر جداً بنكهة عشبية.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 2.5 / رائحة 2 / لون 2,Bitterness 4 / Body 5 / Flavor 2.5 / Aroma 2 / Color 2,غلي 15 دقيقة + قشر برتقال,Boil 15 min; add orange peel.
غلي,B-008,إندونيسي المميز,إNdwnysy Almmyz,١٠٠٪ بن إندونيسي,100% بن Indonesian,لدعم صحة المفاصل، مشروب قوي بنكهة عشبية ترابية عميقة.,"Bold cup.
Flavor profile: full body.",مرارة 4 / قوام 5 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 5 / Flavor 3 / Aroma 3 / Color 3,غلي 30 دقيقة + جوزة الطيب,Boil 30 min; add nutmeg.
غلي,B-009,مناعة الشرق,Mnaaa Alshrq,٦٠٪ حبشي هراري + ٤٠٪ فيتنامي,60% Ethiopian Harrar + 40% Vietnamese,لتعزيز المناعة، مشروب يجمع بين النكهات العشبية الفاكهية والقوية.,"Bold cup.Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 3 / لون 3,Bitterness 3 / Body 4 / Flavor 4 / Aroma 3 / Color 3,غلي 15 دقيقة + قرفة,Boil 15 min; add cinnamon.
غلي,B-010,متانة الروبوستا,Mtana Alrwbwsta,٨٠٪ هندي روبيستا + ٢٠٪ برازيلي روبيستا,80% Indian Robusta + 20% Brazilian Robusta,لقوة تحمل عالية، مشروب قوي ومر جداً بنكهة عشبية.,"Bold cup.
Flavor profile: full body.",مرارة 5 / قوام 5 / نكهة 3 / رائحة 2 / لون 2,Bitterness 5 / Body 5 / Flavor 3 / Aroma 2 / Color 2,غلي 25 دقيقة + فانيليا,Boil 25 min; add vanilla.
غلي,B-011,فجر أفريقيا,Fjr أFryqya,٦٠٪ أوغندي + ٤٠٪ كينيا AAA,60% Ugandan + 40% Kenya AAA,للنشاط والحيوية، مشروب يجمع بين النكهات العشبية القوية والمشرقة.,"Bold cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 3 / Body 4 / Flavor 4 / Aroma 4 / Color 4,غلي 10 دقائق + توت مجفف,Boil 10 min; add dried berries.
غلي,B-012,العمق البرازيلي,Alamq Albrazyly,١٠٠٪ برازيلي سانتوس,100% Brazilian Santos,لصحة القلب، مشروب بنكهة عشبية كلاسيكية وقوام ممتلئ.,"Signature cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 3 / Body 4 / Flavor 4 / Aroma 4 / Color 4,غلي 15 دقيقة + كاكاو خام,Boil 15 min; add raw cacao.
غلي,B-013,المرتفعات الخضراء,Almrtfaat Alkhdraء,٦٠٪ كينيا AAA + ٤٠٪ أوغندي,60% Kenya AAA + 40% Ugandan,مضادات أكسدة وطاقة، مشروب يجمع بين النكهات العشبية المشرقة والقوية.,"Bold cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 3 / Body 4 / Flavor 4 / Aroma 4 / Color 4,غلي 12 دقيقة + نعناع طازج,Boil 12 min; add fresh mint.
غلي,B-014,توفير ثلاثي,Twfyr Thlathy,٥٠٪ برازيلي روبيستا + ٣٠٪ أوغندي + ٢٠٪ إندونيسي,50% Brazilian Robusta + 30% Ugandan + 20% Indonesian,طاقة اقتصادية، مشروب قوي ومر بنكهة عشبية.,"Bold cup.
Flavor profile: medium-full body.",مرارة 4 / قوام 4 / نكهة 3 / رائحة 3 / لون 3,Bitterness 4 / Body 4 / Flavor 3 / Aroma 3 / Color 3,غلي 15 دقيقة,Boil 15 min.
غلي,B-015,سموثي الديتوكس,Smwthy Aldytwks,٦٠٪ حبشي لقميتي + ٤٠٪ فيتنامي,60% Ethiopian Lekemti + 40% Vietnamese,لتنقية الجسم، مشروب يجمع بين النكهات العشبية الخفيفة والقوية.,"Bold cup.
Flavor profile: light body.",مرارة 3 / قوام 2 / نكهة 4 / رائحة 4 / لون 3,Bitterness 3 / Body 2 / Flavor 4 / Aroma 4 / Color 3,غلي 8 دقائق + ليمون,Boil 8 min; add lemon.
غلي,B-016,صباح الروبوستا,Sbah Alrwbwsta,٨٠٪ برازيلي روبيستا + ٢٠٪ هندي روبيستا,80% Brazilian Robusta + 20% Indian Robusta,ليقظة صباحية قوية، مشروب قوي ومر جداً.,"Bold cup.
Flavor profile: full body.",مرارة 5 / قوام 5 / نكهة 3 / رائحة 2 / لون 2,Bitterness 5 / Body 5 / Flavor 3 / Aroma 2 / Color 2,غلي 8 دقائق + قرفة,Boil 8 min; add cinnamon.
غلي,B-017,روبوستا مزدوجة,Rwbwsta Mzdwja,٥٠٪ فيتنامي + ٥٠٪ هندي روبيستا,50% Vietnamese + 50% Indian Robusta,لطاقة مضاعفة، مشروب قوي ومر جداً.,"Bold cup.
Flavor profile: full body.",مرارة 5 / قوام 5 / نكهة 3 / رائحة 2 / لون 2,Bitterness 5 / Body 5 / Flavor 3 / Aroma 2 / Color 2,غلي 20 دقيقة + هيل,Boil 20 min; add cardamom.
غلي,B-018,الطاقة الخضراء,Altaqa Alkhdraء,٦٠٪ حبشي لقميتي + ٤٠٪ فيتنامي,60% Ethiopian Lekemti + 40% Vietnamese,للحيوية والنشاط، مشروب يجمع بين النكهات العشبية الخفيفة والقوية.,"Bold cup.
Flavor profile: medium body.",مرارة 3 / قوام 3 / نكهة 4 / رائحة 4 / لون 3,Bitterness 3 / Body 3 / Flavor 4 / Aroma 4 / Color 3,غلي 10 دقائق + زنجبيل,Boil 10 min; add ginger.
غلي,B-019,بهارات الهند,Bharat Alhnd,٧٠٪ هندي مايسور + ٣٠٪ هندي أرابيكا,70% Indian Mysore + 30% Indian Arabica,لدعم الهضم، مشروب بنكهات عشبية ترابية معقدة.,"Signature cup.
Flavor profile: medium-full body.",مرارة 4 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 4 / Body 4 / Flavor 4 / Aroma 4 / Color 4,غلي 18 دقيقة + قرنفل,Boil 18 min; add clove.
غلي,B-020,أوغندا الخالصة,أWghnda Alkhalsa,١٠٠٪ أوغندي,100% Ugandan,لطاقة متوازنة، مشروب قوي بنكهة عشبية كلاسيكية.,"Bold cup.
Flavor profile: medium-full body.",مرارة 3 / قوام 4 / نكهة 4 / رائحة 3 / لون 3,Bitterness 3 / Body 4 / Flavor 4 / Aroma 3 / Color 3,غلي 12 دقيقة + سكر بني,Boil 12 min; add brown sugar.
غلي,B-021,سانتوس المغلي,Santws Almghly,١٠٠٪ برازيلي سانتوس,100% Brazilian Santos,لصحة القلب والمزاج، مشروب بنكهة عشبية كلاسيكية متوازنة.,"Signature cup.
Flavor profile: medium-full body.",مرارة 2 / قوام 4 / نكهة 4 / رائحة 4 / لون 4,Bitterness 2 / Body 4 / Flavor 4 / Aroma 4 / Color 4,غلي 15 دقيقة,Boil 15 min.
غلي,B-022,بيرو المغلي,Byrw Almghly,١٠٠٪ بيرو,100% Peru,مضاد للالتهابات، مشروب بنكهة عشبية نقية وحمضية لطيفة.,"Signature cup.
Flavor profile: medium-full body.",مرارة 2 / قوام 4 / نكهة 5 / رائحة 4 / لون 5,Bitterness 2 / Body 4 / Flavor 5 / Aroma 4 / Color 5,غلي 12 دقيقة,Boil 12 min.